date,report_org_code,org_code,activity,humanitarian_or_development,state,township,beneficiaries,new_beneficiaries
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,15,0
01/03/2022,org_2254,org_2254,food_cash for work_assets,Humanitarian,Rakhine,Maungdaw,164,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,187,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,23,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Buthidaung,18,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Buthidaung,5,0
01/03/2022,org_2254,org_2254,food_cash for work_assets,Humanitarian,Rakhine,Buthidaung,22,22
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,1370,1370
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,81,0
01/03/2022,org_2254,org_2254,food_cash for work_assets,Humanitarian,Rakhine,Maungdaw,109,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Maungdaw,275,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,80,80
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,11,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,258,258
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,20,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Buthidaung,85,85
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Buthidaung,7,0
01/03/2022,org_2254,org_2254,food_cash for work_assets,Humanitarian,Rakhine,Buthidaung,15,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,739,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,50,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,435,435
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,19,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,72,72
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,4,0
01/03/2022,org_2254,org_2254,food_cash for work_assets,Humanitarian,Rakhine,Maungdaw,13,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Maungdaw,5205,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Maungdaw,252,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,264,264
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,19,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,106,106
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,7,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,170,170
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,13,0
01/03/2022,org_2254,org_2254,food_cash for work_assets,Humanitarian,Rakhine,Maungdaw,13,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,1359,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,96,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Maungdaw,1374,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Maungdaw,97,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,110,110
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,13,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,77,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,4,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Maungdaw,501,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,247,247
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,17,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,844,844
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,8,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,12,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,17,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,2569,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,266,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,1486,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,82,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,702,702
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,49,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,303,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,10,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,377,377
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,35,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,258,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,16,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,1447,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,91,0
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,484,484
01/03/2022,org_2254,org_2254,food distribution,Humanitarian,Rakhine,Buthidaung,16,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Maungdaw,367,367
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Buthidaung,111,111
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Buthidaung,397,0
01/02/2022,org_2254,org_2254,"crop, vegetable and seed kits",Humanitarian,Rakhine,Buthidaung,33,0
01/03/2022,org_2254,org_2254,food_cash for work_assets,Humanitarian,Rakhine,Buthidaung,42,0
01/06/2022,org_9632,org_9632,multi-purpose cash transfer,Humanitarian,Shan (North),Namtu,26,0
01/06/2022,org_9632,org_9632,multi-purpose cash transfer,Humanitarian,Shan (North),Muse,101,0
01/06/2022,org_9632,org_9632,multi-purpose cash transfer,Humanitarian,Shan (North),Namtu,1,0
01/06/2022,org_9632,org_9632,multi-purpose cash transfer,Humanitarian,Shan (North),Namtu,29,0
01/06/2022,org_9632,org_9632,multi-purpose cash transfer,Humanitarian,Shan (North),Namtu,13,0
01/06/2022,org_9632,org_9632,multi-purpose cash transfer,Humanitarian,Shan (North),Namtu,3,0
01/04/2022,org_9632,org_9632,multi-purpose cash transfer,Humanitarian,Shan (North),Kutkai,5,0
01/05/2022,org_9632,org_9632,multi-purpose cash transfer,Humanitarian,Shan (North),Kutkai,7,7
01/06/2022,org_9632,org_9632,multi-purpose cash transfer,Humanitarian,Shan (North),Kutkai,7,0
01/06/2022,org_9632,org_9632,multi-purpose cash transfer,Humanitarian,Shan (North),Muse,10,0
01/06/2022,org_9632,org_9632,multi-purpose cash transfer,Humanitarian,Shan (North),Muse,1,0
01/06/2022,org_9632,org_9632,multi-purpose cash transfer,Humanitarian,Shan (North),Namtu,21,0
01/06/2022,org_9632,org_9632,multi-purpose cash transfer,Humanitarian,Shan (North),Namtu,1,0
01/06/2022,org_9632,org_9632,multi-purpose cash transfer,Humanitarian,Shan (North),Muse,7,0
01/06/2022,org_9632,org_9632,multi-purpose cash transfer,Humanitarian,Shan (North),Namtu,15,0
01/06/2022,org_9632,org_9632,multi-purpose cash transfer,Humanitarian,Shan (North),Namtu,1,0
01/06/2022,org_9632,org_9632,multi-purpose cash transfer,Humanitarian,Shan (North),Namtu,1,0
01/06/2022,org_9632,org_9632,multi-purpose cash transfer,Humanitarian,Shan (North),Namtu,1,0
01/04/2022,org_9632,org_9632,vocational training,Development,Rakhine,Sittwe,60,60
01/04/2022,org_9632,org_9632,vocational training,Development,Rakhine,Sittwe,10,10
01/04/2022,org_9632,org_9632,vocational training,Development,Rakhine,Sittwe,5,0
01/04/2022,org_9632,org_9632,vocational training,Development,Rakhine,Sittwe,10,10
01/04/2022,org_9632,org_9632,vocational training,Development,Rakhine,Sittwe,60,0
01/04/2022,org_9632,org_9632,vocational training,Development,Rakhine,Sittwe,10,10
01/04/2022,org_9632,org_9632,vocational training,Development,Rakhine,Sittwe,25,25
01/04/2022,org_9632,org_9632,IGA and small grants,Development,Rakhine,Maungdaw,43,0
01/04/2022,org_9632,org_9632,IGA and small grants,Development,Rakhine,Maungdaw,14,0
01/04/2022,org_9632,org_9632,IGA and small grants,Development,Rakhine,Maungdaw,36,36
01/04/2022,org_9632,org_9632,IGA and small grants,Development,Rakhine,Maungdaw,38,0
01/04/2022,org_9632,org_9632,IGA and small grants,Development,Rakhine,Maungdaw,5,0
01/04/2022,org_9632,org_9632,IGA and small grants,Development,Rakhine,Maungdaw,18,0
01/04/2022,org_9632,org_9632,IGA and small grants,Development,Rakhine,Maungdaw,25,0
01/04/2022,org_9632,org_9632,IGA and small grants,Development,Rakhine,Maungdaw,30,0
01/04/2022,org_9632,org_9632,IGA and small grants,Development,Rakhine,Maungdaw,6,0
01/04/2022,org_9632,org_9632,IGA and small grants,Development,Rakhine,Maungdaw,6,0
01/05/2022,org_9632,org_9632,multi-purpose cash transfer,Development,Rakhine,Maungdaw,32,0
01/05/2022,org_9632,org_9632,multi-purpose cash transfer,Development,Rakhine,Maungdaw,6,0
01/05/2022,org_9632,org_9632,multi-purpose cash transfer,Development,Rakhine,Maungdaw,12,0
01/05/2022,org_9632,org_9632,multi-purpose cash transfer,Development,Rakhine,Maungdaw,16,16
01/05/2022,org_9632,org_9632,multi-purpose cash transfer,Development,Rakhine,Maungdaw,2,0
01/05/2022,org_9632,org_9632,multi-purpose cash transfer,Development,Rakhine,Maungdaw,5,0
01/06/2022,org_9632,org_9632,community infrastructure and equipment,Development,Rakhine,Maungdaw,19,0
01/06/2022,org_9632,org_9632,community infrastructure and equipment,Development,Rakhine,Maungdaw,9,0
01/06/2022,org_9632,org_9632,community infrastructure and equipment,Development,Rakhine,Maungdaw,14,0
01/06/2022,org_9632,org_9632,community infrastructure and equipment,Development,Rakhine,Maungdaw,3,3
01/06/2022,org_9632,org_9632,community infrastructure and equipment,Development,Rakhine,Maungdaw,1,1
01/06/2022,org_9632,org_9632,community infrastructure and equipment,Development,Rakhine,Maungdaw,12,12
01/06/2022,org_9632,org_9632,community infrastructure and equipment,Development,Rakhine,Maungdaw,6,0
01/06/2022,org_9632,org_9632,community infrastructure and equipment,Development,Rakhine,Maungdaw,2,2
01/06/2022,org_9632,org_9632,community infrastructure and equipment,Development,Rakhine,Maungdaw,9,9
01/04/2022,org_5911,org_5911,food distribution,Humanitarian,Kachin,Waingmaw,4879,0
01/04/2022,org_5911,org_5911,food distribution,Humanitarian,Kachin,Momauk,3024,0
01/04/2022,org_3536,org_5604,multi-purpose cash transfer,Humanitarian,Rakhine,Mrauk-U,3355,0
01/04/2022,org_3536,org_5604,multi-purpose cash transfer,Humanitarian,Rakhine,Mrauk-U,544,544
01/04/2022,org_3536,org_5604,multi-purpose cash transfer,Humanitarian,Rakhine,Minbya,194,194
01/04/2022,org_3536,org_5604,multi-purpose cash transfer,Humanitarian,Rakhine,Minbya,157,0
01/04/2022,org_3536,org_4155,multi-purpose cash transfer,Humanitarian,Rakhine,Myebon,12,12
01/04/2022,org_3536,org_4155,multi-purpose cash transfer,Humanitarian,Rakhine,Myebon,160,160
01/04/2022,org_3536,org_4155,multi-purpose cash transfer,Humanitarian,Rakhine,Myebon,47,47
01/04/2022,org_3536,org_4155,multi-purpose cash transfer,Humanitarian,Rakhine,Myebon,192,0
01/04/2022,org_3536,org_4155,multi-purpose cash transfer,Humanitarian,Rakhine,Myebon,143,143
01/04/2022,org_3536,org_4155,multi-purpose cash transfer,Humanitarian,Rakhine,Myebon,51,0
01/04/2022,org_3536,org_4155,multi-purpose cash transfer,Humanitarian,Rakhine,Myebon,95,0
01/04/2022,org_3536,org_3486,multi-purpose cash transfer,Humanitarian,Rakhine,Maungdaw,1523,1523
01/04/2022,org_3536,org_3486,multi-purpose cash transfer,Humanitarian,Rakhine,Maungdaw,154,0
01/04/2022,org_3536,org_3486,multi-purpose cash transfer,Humanitarian,Rakhine,Maungdaw,153,0
01/05/2022,org_3536,org_3486,multi-purpose cash transfer,Humanitarian,Rakhine,Rathedaung,1065,1065
01/04/2022,org_3877,org_8556,HEB and fortfied rice,Humanitarian,Yangon,Hlaingtharya (East),140,0
01/04/2022,org_3877,org_8556,HEB and fortfied rice,Humanitarian,Yangon,Hlaingtharya (East),120,0
01/04/2022,org_3877,org_8556,HEB and fortfied rice,Humanitarian,Yangon,Hlaingtharya (East),30,0
01/04/2022,org_3877,org_8556,HEB and fortfied rice,Humanitarian,Yangon,Hlaingtharya (East),170,170
01/04/2022,org_3877,org_8556,HEB and fortfied rice,Humanitarian,Yangon,Hlaingtharya (West),160,0
01/04/2022,org_3877,org_8556,HEB and fortfied rice,Humanitarian,Yangon,Hlaingtharya (West),160,0
01/04/2022,org_3877,org_8556,HEB and fortfied rice,Humanitarian,Yangon,Hlaingtharya (West),140,0
01/04/2022,org_3877,org_8556,HEB and fortfied rice,Humanitarian,Yangon,Hlaingtharya (West),130,0
01/05/2022,org_3877,org_8556,HEB and fortfied rice,Humanitarian,Yangon,Hlaingtharya (East),140,0
01/05/2022,org_3877,org_8556,HEB and fortfied rice,Humanitarian,Yangon,Hlaingtharya (East),120,0
01/05/2022,org_3877,org_8556,HEB and fortfied rice,Humanitarian,Yangon,Hlaingtharya (East),30,0
01/05/2022,org_3877,org_8556,HEB and fortfied rice,Humanitarian,Yangon,Hlaingtharya (East),170,0
01/05/2022,org_3877,org_8556,HEB and fortfied rice,Humanitarian,Yangon,Hlaingtharya (West),160,0
01/05/2022,org_3877,org_8556,HEB and fortfied rice,Humanitarian,Yangon,Hlaingtharya (West),160,0
01/05/2022,org_3877,org_8556,HEB and fortfied rice,Humanitarian,Yangon,Hlaingtharya (West),140,0
01/05/2022,org_3877,org_8556,HEB and fortfied rice,Humanitarian,Yangon,Hlaingtharya (West),130,0
01/06/2022,org_3877,org_8556,HEB and fortfied rice,Humanitarian,Yangon,Hlaingtharya (East),140,0
01/06/2022,org_3877,org_8556,HEB and fortfied rice,Humanitarian,Yangon,Hlaingtharya (East),120,0
01/06/2022,org_3877,org_8556,HEB and fortfied rice,Humanitarian,Yangon,Hlaingtharya (East),30,0
01/06/2022,org_3877,org_8556,HEB and fortfied rice,Humanitarian,Yangon,Hlaingtharya (East),170,0
01/06/2022,org_3877,org_8556,HEB and fortfied rice,Humanitarian,Yangon,Hlaingtharya (West),160,0
01/06/2022,org_3877,org_8556,HEB and fortfied rice,Humanitarian,Yangon,Hlaingtharya (West),160,0
01/06/2022,org_3877,org_8556,HEB and fortfied rice,Humanitarian,Yangon,Hlaingtharya (West),140,0
01/06/2022,org_3877,org_8556,HEB and fortfied rice,Humanitarian,Yangon,Hlaingtharya (West),130,0
01/01/2022,org_3422,org_7226,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,75,0
01/03/2022,org_3422,org_7226,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,75,0
01/01/2022,org_3422,org_7226,food distribution,Humanitarian,Yangon,Shwepyithar,125,0
01/02/2022,org_3422,org_7226,food distribution,Humanitarian,Yangon,Shwepyithar,125,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,23,23
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,11,11
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,4,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,55,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,25,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,16,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,8,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,4,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,2,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,39,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,29,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,4,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,2,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,8,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,10,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,4,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,1,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,5,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,5,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,33,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,10,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,8,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,10,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,1,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,11,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,2,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,5,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,2,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,6,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,4,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,3,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,3,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,1,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,1,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,1,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,3,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,1,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,4,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,1,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,4,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,2,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,2,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,6,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,3,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,4,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,20,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,10,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,3,0
01/01/2022,org_3422,org_7002,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,8,0
01/03/2022,org_3422,org_1015,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,23,0
01/03/2022,org_3422,org_1015,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,29,0
01/03/2022,org_3422,org_1015,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,12,0
01/03/2022,org_3422,org_1015,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,32,0
01/05/2022,org_3422,org_1015,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,21,0
01/05/2022,org_3422,org_1015,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,21,0
01/05/2022,org_3422,org_1015,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,18,0
01/05/2022,org_3422,org_1015,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,40,0
01/06/2022,org_3422,org_1015,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,43,0
01/06/2022,org_3422,org_1015,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,27,0
01/06/2022,org_3422,org_1015,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,20,0
01/06/2022,org_3422,org_1015,multi-purpose cash transfer,Humanitarian,Yangon,Shwepyithar,12,0
01/04/2022,org_7733,org_7733,food_cash for work_assets,Humanitarian,Kayin,Kawkareik,839,839
01/06/2022,org_7733,org_7733,food distribution,Humanitarian,Kayin,Hpapun,2036,2036
01/04/2022,org_7733,org_7733,food_cash for work_assets,Humanitarian,Kayin,Kawkareik,939,939
01/04/2022,org_7733,org_7733,food_cash for work_assets,Humanitarian,Kayin,Kawkareik,564,564
01/04/2022,org_7733,org_7733,food_cash for work_assets,Humanitarian,Kayin,Kawkareik,329,329
01/02/2022,org_7733,org_7733,food distribution,Humanitarian,Kayin,Hlaingbwe,6993,6993
01/06/2022,org_7733,org_7733,food distribution,Humanitarian,Kayin,Hlaingbwe,693,0
01/04/2022,org_7733,org_7733,food_cash for work_assets,Humanitarian,Kayin,Kawkareik,692,692
01/04/2022,org_6130,org_6130,food distribution,Humanitarian,Kachin,Waingmaw,242,0
01/05/2022,org_6130,org_6130,food distribution,Humanitarian,Kachin,Waingmaw,242,0
01/06/2022,org_6130,org_6130,food distribution,Humanitarian,Kachin,Waingmaw,242,0
01/05/2022,org_2625,org_8568,food_cash for work_assets,Humanitarian,Kachin,Bhamo,7,7
01/05/2022,org_2625,org_8568,food_cash for work_assets,Humanitarian,Kachin,Bhamo,7,7
01/05/2022,org_2625,org_6203,food_cash for work_assets,Humanitarian,Kachin,Waingmaw,7,7
01/05/2022,org_2625,org_6203,food_cash for work_assets,Humanitarian,Kachin,Waingmaw,7,7
01/05/2022,org_2625,org_6203,food_cash for work_assets,Humanitarian,Kachin,Waingmaw,7,7
01/05/2022,org_2625,org_6660,multi-purpose cash transfer,Humanitarian,Rakhine,Ponnagyun,372,372
01/05/2022,org_2625,org_6660,multi-purpose cash transfer,Humanitarian,Rakhine,Ponnagyun,245,245
01/05/2022,org_2625,org_6660,multi-purpose cash transfer,Humanitarian,Rakhine,Ponnagyun,151,151
01/05/2022,org_2625,org_6660,multi-purpose cash transfer,Humanitarian,Rakhine,Ponnagyun,103,103
01/05/2022,org_2625,org_6660,multi-purpose cash transfer,Humanitarian,Rakhine,Ponnagyun,92,92
01/05/2022,org_2625,org_6660,multi-purpose cash transfer,Humanitarian,Rakhine,Ponnagyun,125,125
01/05/2022,org_2625,org_6660,multi-purpose cash transfer,Humanitarian,Rakhine,Ponnagyun,159,159
01/05/2022,org_2625,org_6660,multi-purpose cash transfer,Humanitarian,Rakhine,Ponnagyun,194,194
01/05/2022,org_2625,org_6660,multi-purpose cash transfer,Humanitarian,Rakhine,Ponnagyun,110,110
01/05/2022,org_2625,org_6660,multi-purpose cash transfer,Humanitarian,Rakhine,Ponnagyun,219,219
01/05/2022,org_2625,org_6660,multi-purpose cash transfer,Humanitarian,Rakhine,Ponnagyun,81,81
